"X" "Y" "Diameter" "Observer" "Image"
799.607 -409.292 19.8412 "Antonenko1" "NAC"
1491.5 -1951.44 19.8631 "Antonenko1" "NAC"
823.8 -2204.87 19.8681 "Antonenko1" "NAC"
1762.46 -732.82 19.8984 "Antonenko1" "NAC"
3596.23 -1735.76 19.9051 "Antonenko1" "NAC"
625.423 -58.8039 19.9304 "Antonenko1" "NAC"
843.153 -1973.01 19.9337 "Antonenko1" "NAC"
1902.77 -107.333 19.9556 "Antonenko1" "NAC"
2328.56 -296.058 19.969 "Antonenko1" "NAC"
809.284 -1444.58 19.9758 "Antonenko1" "NAC"
3213.99 -2123.99 20.0229 "Antonenko1" "NAC"
393.178 -2097.03 20.0279 "Antonenko1" "NAC"
2565.64 -2204.87 20.0296 "Antonenko1" "NAC"
4007.5 -527.919 20.0615 "Antonenko1" "NAC"
330.278 -139.686 20.0783 "Antonenko1" "NAC"
1738.27 -1541.64 20.08 "Antonenko1" "NAC"
1486.67 -430.861 20.0834 "Antonenko1" "NAC"
2168.89 -452.429 20.0968 "Antonenko1" "NAC"
2391.46 -1034.78 20.1002 "Antonenko1" "NAC"
194.802 -959.29 20.1069 "Antonenko1" "NAC"
3639.77 -360.763 20.1355 "Antonenko1" "NAC"
3978.46 -1854.38 20.1423 "Antonenko1" "NAC"
2154.37 -2086.24 20.1439 "Antonenko1" "NAC"
1530.21 -1137.23 20.1507 "Antonenko1" "NAC"
417.37 -1514.68 20.1624 "Antonenko1" "NAC"
4012.33 -1698.01 20.1877 "Antonenko1" "NAC"
1859.23 -1428.4 20.1944 "Antonenko1" "NAC"
1665.69 -576.448 20.2095 "Antonenko1" "NAC"
431.886 -1476.93 20.2146 "Antonenko1" "NAC"
2062.44 -128.902 20.2314 "Antonenko1" "NAC"
2889.81 -1309.78 20.2886 "Antonenko1" "NAC"
809.284 -150.47 20.3054 "Antonenko1" "NAC"
2164.05 -538.703 20.3474 "Antonenko1" "NAC"
2676.92 -495.566 20.3912 "Antonenko1" "NAC"
1457.64 -1320.56 20.4063 "Antonenko1" "NAC"
3054.32 -932.329 20.4534 "Antonenko1" "NAC"
3838.15 -1315.17 20.4668 "Antonenko1" "NAC"
3388.17 -69.5882 20.4853 "Antonenko1" "NAC"
2565.64 -608.801 20.5072 "Antonenko1" "NAC"
2405.97 -414.684 20.5761 "Antonenko1" "NAC"
2217.27 -1342.13 20.5946 "Antonenko1" "NAC"
2638.22 -37.2354 20.6199 "Antonenko1" "NAC"
964.114 -1061.74 20.6216 "Antonenko1" "NAC"
3663.97 -2194.09 20.6283 "Antonenko1" "NAC"
78.6794 -349.979 20.6417 "Antonenko1" "NAC"
2904.33 -490.174 20.6468 "Antonenko1" "NAC"
3417.21 -242.136 20.667 "Antonenko1" "NAC"
3228.51 -1094.09 20.6838 "Antonenko1" "NAC"
1510.86 -1412.23 20.6972 "Antonenko1" "NAC"
3194.64 -1590.17 20.714 "Antonenko1" "NAC"
746.385 -1967.62 20.7292 "Antonenko1" "NAC"
1709.23 -1627.91 20.7325 "Antonenko1" "NAC"
1293.13 -991.642 20.7611 "Antonenko1" "NAC"
1917.29 -651.938 20.7662 "Antonenko1" "NAC"
1273.77 -1800.46 20.8469 "Antonenko1" "NAC"
3064 -700.467 20.862 "Antonenko1" "NAC"
2493.06 -452.429 20.8671 "Antonenko1" "NAC"
1389.9 -678.899 20.8957 "Antonenko1" "NAC"
1283.45 -360.763 20.931 "Antonenko1" "NAC"
1723.75 -1805.85 20.9545 "Antonenko1" "NAC"
983.468 -1751.93 20.9966 "Antonenko1" "NAC"
262.54 -759.781 21.0184 "Antonenko1" "NAC"
1017.34 -452.429 21.0369 "Antonenko1" "NAC"
3480.1 -592.625 21.0689 "Antonenko1" "NAC"
3886.53 -1487.72 21.0773 "Antonenko1" "NAC"
3915.56 -258.313 21.084 "Antonenko1" "NAC"
1056.04 -31.8433 21.1463 "Antonenko1" "NAC"
1433.44 -1924.48 21.1648 "Antonenko1" "NAC"
1839.87 -2070.07 21.1849 "Antonenko1" "NAC"
3393.01 -2204.87 21.1866 "Antonenko1" "NAC"
2870.46 -1638.7 21.1866 "Antonenko1" "NAC"
1810.84 -85.7646 21.1917 "Antonenko1" "NAC"
601.231 -269.097 21.2135 "Antonenko1" "NAC"
3199.48 -1541.64 21.2388 "Antonenko1" "NAC"
480.27 -355.371 21.2556 "Antonenko1" "NAC"
2986.58 -1298.99 21.2707 "Antonenko1" "NAC"
2289.85 -166.647 21.2758 "Antonenko1" "NAC"
3596.23 -339.195 21.3127 "Antonenko1" "NAC"
1365.71 -1703.4 21.3598 "Antonenko1" "NAC"
2188.24 -1573.99 21.4237 "Antonenko1" "NAC"
683.485 -943.113 21.4557 "Antonenko1" "NAC"
1723.75 -1724.97 21.4557 "Antonenko1" "NAC"
678.646 -1552.42 21.4742 "Antonenko1" "NAC"
3901.05 -878.408 21.4927 "Antonenko1" "NAC"
1975.35 -1487.72 21.4944 "Antonenko1" "NAC"
